DATE,DTP30A28
2019-09-18,0.28
2019-09-19,0.28
2019-09-20,0.24
2019-09-23,0.2
2019-09-24,0.16
2019-09-25,0.24
2019-09-26,0.21
2019-09-27,0.24
2019-09-30,0.27
2019-10-01,0.22
2019-10-02,0.19
2019-10-03,0.16
2019-10-04,0.11
2019-10-07,0.14
2019-10-08,0.15
2019-10-09,0.2
2019-10-10,0.22
2019-10-11,0.27
2019-10-14,.
2019-10-15,0.3
2019-10-16,0.27
2019-10-17,0.27
2019-10-18,0.24
2019-10-21,0.28
2019-10-22,0.26
2019-10-23,0.23
2019-10-24,0.23
2019-10-25,0.24
2019-10-28,0.28
2019-10-29,0.3
2019-10-30,0.29
2019-10-31,0.22
2019-11-01,0.22
2019-11-04,0.23
2019-11-05,0.27
2019-11-06,0.21
2019-11-07,0.31
2019-11-08,0.3
2019-11-11,.
2019-11-12,0.29
2019-11-13,0.29
2019-11-14,0.27
2019-11-15,0.29
2019-11-18,0.25
2019-11-19,0.23
2019-11-20,0.2
2019-11-21,0.22
2019-11-22,0.22
2019-11-25,0.21
2019-11-26,0.19
2019-11-27,0.21
2019-11-28,.
2019-11-29,0.23
2019-12-02,0.26
2019-12-03,0.15
2019-12-04,0.17
2019-12-05,0.19
2019-12-06,0.21
2019-12-09,0.21
2019-12-10,0.2
2019-12-11,0.17
2019-12-12,0.25
2019-12-13,0.18
2019-12-16,0.22
2019-12-17,0.2
2019-12-18,0.22
2019-12-19,0.2
2019-12-20,0.21
2019-12-23,0.24
2019-12-24,0.21
2019-12-25,.
2019-12-26,0.22
2019-12-27,0.21
2019-12-30,0.21
2019-12-31,0.2
2020-01-01,.
2020-01-02,0.14
2020-01-03,0.08
2020-01-06,0.11
2020-01-07,0.14
2020-01-08,0.17
2020-01-09,0.17
2020-01-10,0.14
2020-01-13,0.14
2020-01-14,0.11
2020-01-15,0.1
2020-01-16,0.12
2020-01-17,0.14
2020-01-20,.
2020-01-21,0.09
2020-01-22,0.11
2020-01-23,0.08
2020-01-24,0.04
2020-01-27,0.01
2020-01-28,0.02
2020-01-29,-0.02
2020-01-30,-0.05
2020-01-31,-0.09
2020-02-03,-0.07
2020-02-04,0.0
2020-02-05,0.02
2020-02-06,0.01
2020-02-07,-0.05
2020-02-10,-0.08
2020-02-11,-0.03
2020-02-12,-0.02
2020-02-13,-0.04
2020-02-14,-0.06
2020-02-17,.
2020-02-18,-0.08
2020-02-19,-0.07
2020-02-20,-0.09
2020-02-21,-0.12
2020-02-24,-0.18
2020-02-25,-0.18
2020-02-26,-0.2
2020-02-27,-0.19
2020-02-28,-0.27
2020-03-02,-0.29
2020-03-03,-0.4
2020-03-04,-0.42
2020-03-05,-0.44
2020-03-06,-0.48
2020-03-09,-0.34
2020-03-10,-0.03
2020-03-11,0.06
2020-03-12,0.14
2020-03-13,0.31
2020-03-16,0.26
2020-03-17,0.61
2020-03-18,0.85
2020-03-19,0.92
2020-03-20,0.6
